date,resting_bpm,weight,bmi,calories_total,overall_score,deep_sleep_in_minutes,restlessness,spo2_avg,spo2_min,spo2_max,very_active_minutes,sedentary_minutes,readiness_raw
2024-04-04,,182.5,25.56,1785.6,,,,,,,0,1440,
2024-04-05,71.39999961853027,182.5,25.56,2482.87,,,,,,,39,1296,
2024-04-06,69.92746925354004,,,3309.5,90.0,116.0,0.0851063829787234,97.4,95.6,99.9,55,543,0.715446478569047
2024-04-07,68.77206039428711,,,4535.12,,,,96.6,94.8,99.1,239,411,
2024-04-08,69.1008996963501,,,2780.08,,,,97.0,94.6,100.0,7,665,
2024-04-09,68.39284420013428,184.0,25.77,2782.26,,,,97.8,96.2,98.8,24,830,
2024-04-10,68.58913135528564,184.0,25.77,3380.92,79.0,57.0,0.0615183246073298,97.6,95.6,100.0,61,678,-0.7118332204287414
2024-04-11,69.58333015441895,185.6,25.99,3087.9100000000003,,,,96.6,94.5,98.9,9,720,
2024-04-12,68.06134796142578,183.2,25.65,4701.95,,,,97.0,92.6,100.0,232,411,
2024-04-13,69.95425796508789,184.7,25.86,4489.57,,,,97.3,95.3,99.7,132,499,
2024-04-14,68.84583854675293,185.1,25.93,3151.11,,,,95.7,90.4,100.0,31,664,
2024-04-15,68.75844383239746,185.1,25.93,2983.26,,,,96.6,95.8,97.5,21,846,
2024-04-16,69.12331771850586,186.0,26.05,4047.9500000000003,,,,96.8,94.7,99.1,169,687,
2024-04-17,70.62685966491699,186.0,26.05,3222.81,,,,95.6,90.9,98.8,52,709,
2024-04-18,69.53740119934082,183.8,25.74,3265.6,,,,95.7,92.1,97.9,30,478,
2024-04-19,68.17561531066895,184.7,25.86,4215.28,,,,,,,79,816,
2024-04-20,70.7103042602539,,,6605.49,84.0,74.0,0.0640883977900552,96.0,94.7,97.0,396,177,-0.4450120264752312
2024-04-21,72.01624393463135,,,5457.88,76.0,75.0,0.0756880733944954,95.6,93.7,98.9,331,365,-2.0584768293809335
2024-04-22,74.42063999176025,,,6388.34,81.0,56.0,0.0665742024965325,96.8,94.2,99.3,380,228,-1.8631602775129232
2024-04-23,76.18574047088623,,,6323.84,74.0,77.0,0.1125541125541125,95.4,94.1,96.7,359,291,-3.4320785781368883
2024-04-24,76.66140365600586,,,5562.13,72.0,70.0,0.1697127937336814,96.6,95.9,97.5,299,327,-3.8731074433504826
2024-04-25,75.40945148468018,,,4317.83,72.0,73.0,0.1299638989169675,94.7,92.7,96.6,173,485,-3.5570302044811424
2024-04-26,74.12602233886719,,,5789.63,90.0,75.0,0.0669693530079455,96.7,95.3,98.4,381,290,-0.34455173610023326
2024-04-27,73.06734466552734,,,4106.75,85.0,69.0,0.0920770877944325,96.4,95.2,97.4,141,447,-0.8796184483863981
2024-04-28,71.71288204193115,,,5662.25,82.0,61.0,0.1153402537485582,97.0,95.1,98.9,370,316,-1.0190697043019539
2024-04-29,73.0257215499878,,,5265.75,80.0,75.0,0.0926935659760087,95.1,91.4,97.6,266,336,-1.671458385538329
2024-04-30,74.43163204193115,,,5053.92,84.0,70.0,0.0813287514318442,94.5,90.9,97.3,266,352,-1.3845263602495088
2024-05-01,73.47874546051025,,,5038.65,86.0,79.0,0.0798722044728434,97.3,95.1,100.0,309,376,-0.8230140956844594
2024-05-02,75.44698143005371,,,5187.42,79.0,72.0,0.1376651982378854,96.5,93.6,100.0,324,302,-2.443217506393372
2024-05-03,76.77556324005127,,,3943.93,81.0,98.0,0.1359605911330049,96.6,94.9,99.0,86,443,-2.4577018703286195
2024-05-04,74.28881549835205,,,3991.33,86.0,52.0,0.12403951701427,95.9,93.7,99.1,155,486,-1.0275304555871647
2024-05-05,72.91604900360107,,,5307.88,86.0,71.0,0.1115577889447236,97.0,95.7,100.0,287,292,-0.6809515261271222
2024-05-06,74.1875,,,5834.17,82.0,57.0,0.1068783068783068,96.3,94.1,99.6,408,231,-1.6438303216461856
2024-05-07,76.45114231109619,,,5041.63,77.0,64.0,0.1411879259980525,96.4,94.7,97.7,247,261,-3.0176748653642145
2024-05-08,75.19628143310547,,,5368.3099999999995,78.0,51.0,0.1099873577749683,96.1,94.2,98.5,299,378,-2.5403935883436506
2024-05-09,73.96295166015625,,,5332.76,85.0,65.0,0.111864406779661,95.9,93.9,97.3,328,356,-1.105730110203814
2024-05-10,73.76400756835938,,,5107.76,80.0,51.0,0.1085080147965474,95.9,92.9,97.3,257,382,-1.8578516132729237
2024-05-11,75.27656173706055,,,6020.13,70.0,60.0,0.0998307952622673,97.3,95.6,100.0,364,364,-3.8444192301772366
2024-05-12,77.11542224884033,,,4239.67,65.0,49.0,0.1252173913043478,,,,119,607,-5.111020173600449
2024-05-13,74.38161277770996,,,5117.92,75.0,49.0,0.0852359208523592,95.6,93.6,97.0,329,492,-2.816125279674348
2024-05-14,73.42668342590332,,,5273.24,79.0,59.0,0.1019354838709677,97.3,95.6,99.5,299,323,-1.9331579134866266
2024-05-15,74.50332164764404,,,4367.14,84.0,102.0,0.1116951379763469,97.1,96.0,99.5,236,421,-1.4026256560120365
2024-05-16,73.65949249267578,,,5667.47,86.0,76.0,0.0933940774487471,95.6,94.3,97.0,365,261,-0.8686468476131637
